"ID"	"MaxEcotype"	"AssignmentP"	"AssignmentQ"	"AssignedToEcotypeStates"	"Ecotype"
"HKB0132_3006_T"	"HKB0132_3006_T"	"CE10"	0.0268377503094512	0.0348287658510294	TRUE	"CE10"
"HKB0155_3000_T"	"HKB0155_3000_T"	"CE10"	0.0108368918042673	0.0166888133785716	TRUE	"CE10"
"HKB0186_3000_T"	"HKB0186_3000_T"	"CE10"	2.6667357568771e-05	0.000101457524934893	TRUE	"CE10"
"HKB0214_3006_T"	"HKB0214_3006_T"	"CE10"	0.0114678622664364	0.0175435508844159	TRUE	"CE10"
"HKB0220_3000_T"	"HKB0220_3000_T"	"CE10"	0.00273000945388672	0.00496560774683332	TRUE	"CE10"
"HKB0573_3000_T"	"HKB0573_3000_T"	"CE10"	2.97225933061415e-05	0.000107279985214355	TRUE	"CE10"
"HKB0650_3000_T"	"HKB0650_3000_T"	"CE10"	0.0248028454993332	0.0331182503488206	TRUE	"CE10"
"HKB0674_3000_T"	"HKB0674_3000_T"	"CE10"	4.81061439795898e-08	5.55625962964263e-06	TRUE	"CE10"
"HKB0683_3000_T"	"HKB0683_3000_T"	"CE10"	0.000232964809192831	0.000572498626846213	TRUE	"CE10"
"HKB0719_3002_T"	"HKB0719_3002_T"	"CE10"	0.00492109968934236	0.00817823041897904	TRUE	"CE10"
"HKB0736_3000_T"	"HKB0736_3000_T"	"CE10"	5.66303971131986e-06	3.53333175525833e-05	TRUE	"CE10"
"HKB0751_3000_T"	"HKB0751_3000_T"	"CE10"	0.000119433533566441	0.000313513025611907	TRUE	"CE10"
